WWI_ID,MSNDATE,OPERATION,COUNTRY,SERVICE,UNIT,MDS,MISSIONNUM,TAKEOFFTIME,NUMBEROFPLANESATTACKING,CALLSIGN,WEAPONSEXPENDED,WEAPONTYPE,WEAPONWEIGHT,BOMBLOAD,LATITUDE,LONGITUDE,TGTLOCATION,TGTCOUNTRY,TGTTYPE,TAKEOFFBASE,TAKEOFFLATITUDE,TAKEOFFLONGITUDE,BDA,ENEMYACTION,ROUTEDETAILS,ISRCOLLECTED,FRIENDLYCASUALTIES,WEATHER,ALTITUDE,id
58,4/11/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,RAILWAYS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6076
59,4/12/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY SIDINGS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6077
60,4/12/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,1344,224,49.3968459,4.38328,JUNIVILLE,GERMANY,RAILWAY SIDINGS & STATION,VILLESENEUX,48.78108005,4.1631317,,,,,0,,6500,6078
61,4/12/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,3,,,,4032,1344,49.517159,4.503726,"AMAGNE-LUCQUY, JUNIVILLE",FRANCE,"JTN, SIDINGS, STATION",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000,6079
62,4/19/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,1568,261.3333333,49.3968459,4.38328,JUNIVILLE,GERMANY,"JUNCTION, STATION",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000,6080
63,4/19/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,3,,,,4704,1568,49.3968459,4.38328,JUNIVILLE & BETHENVILLE,GERMANY,"JUNCTION, STN, SIDINGS",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000,6081
64,4/20/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,7,,,,2128,304,49.816994,2.800635,"CHAULNES. ROYE, HAM",FRANCE,RAIL STATIONS & JUNCTIONS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,6500,6082
65,4/20/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,2,,,,3136,1568,49.816994,2.800635,CHAULNES,FRANCE,RAIL STATION & SIDINGS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000,6083
67,5/2/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2476,225.0909091,49.356794,6.167606,THIONVILLE,FRANCE,RAILWAYS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6085
69,5/3/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,"CARLSHUTTE WRKS, RAIL, BLDG",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6087
70,5/3/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,9,,,,2016,224,49.3968459,4.38328,"JUNIVILLE, ASFELD, AMAGNE",GERMANY,RAIL LINES & SIDINGS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,6500,6088
71,5/15/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,JUNCTION & RLWY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500,6089
72,5/16/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.233333,7,SAARBRUCKEN,GERMANY,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,1,,6500,6090
73,5/17/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.115461,6.175875,METZ,FRANCE,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500,6091
74,5/17/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,10,,,,2240,224,49.115461,6.175875,"METZ, METZ-SABLON, THIONVILLE",FRANCE,RAIL STATIONS & WORKS,OCHEY,48.58129185,5.95351696,,,,,1,,6500,6092
75,5/17/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,49.356794,6.167606,THIONVILLE,FRANCE,RAIL STATION,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6093
76,5/18/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,5,,,,1392,278.4,50.9406645,6.9599115,COLOGNE,GERMANY,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500,6094
77,5/20/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,10,,,,2258,225.8,49.193507,8.11288,LANDAU,GERMANY,RAIL STATION & BARRACKS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500,6095
78,5/20/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,11,,,,2464,224,49.356794,6.167606,"THIONVILLE, METZ-SABLON",FRANCE,RAIL STATIONS,OCHEY,48.58129185,5.95351696,,,,,0,,6500,6096
79,5/20/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,6,,,,7392,1232,49.356794,6.167606,"THIONVILLE, METZ-SABLON, COBLENZ",FRANCE,RAIL STATIONS S BARRACKS,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6097
80,5/21/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,50.4124306,4.4437222,"CHARLEROI, NAMUR, METZ-SABLON",BELGIUM,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,1,,6500,6098
81,5/21/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,6,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6099
82,5/21/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,15,,,,3248,216.5333333,49.233333,7,SAARBRUCKEN. THIONVILLE,GERMANY,RAIL STATION & SIDINGS,OCHEY,48.58129185,5.95351696,,,,,0,,6500,6100
83,5/21/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,7,,,,9084,1297.714286,49.356794,6.167606,"THIONVILLE, KARTHAUS",FRANCE,RAIL STATIONS & CHEMICAL,OCHEY,48.58129185,5.95351696,,,,,1,,10000,6101
84,5/22/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,50.63042,5.60302,KINKEMPOIS,BELGIUM,RAIL STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500,6102
85,5/22/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,6,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6103
86,5/22/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3408,284,49.204987,6.6962469,"KREUZWALD, SPITTEL",GERMANY,"ELECTRICAL STATION, RAIL",OCHEY,48.58129185,5.95351696,,,,,0,,6500,6104
87,5/22/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,5,,,,6496,1299.2,49.204987,6.6962469,"KREUZWALD, MANNHEIM ",GERMANY,"ELECT STN, BASF",OCHEY,48.58129185,5.95351696,,,,,0,,10000,6105
88,5/23/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,11,,,,2464,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAIL STN & TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6106
89,5/24/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,8,,,,1792,224,51.9691868,5.6653948,HAGENDINGEN,GERMANY,THYSSEN BLAST FURNACES,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6107
90,5/27/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,10,,,,2128,212.8,48.905388,6.759462,BENSDORF,FRANCE,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,1,,6500,6108
91,5/27/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3424,285.3333333,49.204987,6.6962469,KREUZWALD. METZ-SABLON,GERMANY,ELECT PWR STN; RAIL,OCHEY,48.58129185,5.95351696,,,,,1,,6500,6109
92,5/27/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,5,,,,6720,1344,49.488333,8.464722,"MANNHEIM, KREUZ, LANDAU, COURCELLES",GERMANY,"BASF, PWR STN, RAIL",OCHEY,48.58129185,5.95351696,,,,,0,,10000,6110
94,5/28/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,3,,,,864,288,49.115461,6.175875,METZ-SABLONS,FRANCE,RAIL STN,OCHEY,48.58129185,5.95351696,,,,,1,,6500,6112
95,5/29/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.356794,6.167606,THIONVILLE,FRANCE,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500,6113
96,5/29/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,6,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500,6114
97,5/30/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6115
98,5/30/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,4,,,,896,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500,6116
99,5/30/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,1728,288,49.115461,6.175875,METZ-SABLON,FRANCE,RAIL STATION,OCHEY,48.58129185,5.95351696,,,,,0,,6500,6117
101,5/31/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.0080848,8.4037563,KARLSRUHE,GERMANY,RAIL STATION & WORKSHOPS,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000,6119
102,5/31/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,11,,,,2240,203.6363636,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500,6120
103,5/31/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,15,,,,3296,219.7333333,49.356794,6.167606,THIONVILLE & METZ,FRANCE,RAIL STATION & JUNCTION,OCHEY,48.58129185,5.95351696,,,,,0,,6500,6121
105,6/1/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2240,203.6363636,49.7022517,6.58261299,KARTHAUS,ITALY,RAILWAY STN,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000,6123
106,6/1/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,6,,,,5344,890.6666667,49.115461,6.175875,METZ-SABLON,FRANCE,RAIL,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500,6124
107,6/2/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,10,,,,2240,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAIL,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6125
108,6/3/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,7,,,,1568,224,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6126
109,6/3/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,2,,,,454,227,49.115461,6.175875,METZ,FRANCE,RAILWAYS,OCHEY,48.58129185,5.95351696,,,,,0,,6500,6127
110,6/4/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2694,224.5,45.538718,4.675828,TREVES & CONZ,FRANCE,RAILWAYS & BARRACKS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6128
111,6/4/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,10,,,,2240,224,49.115461,6.175875,METZ-SABLON,FRANCE,TRIANGLE OF RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500,6129
112,6/5/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,7,,,,1649,235.5714286,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAYS,OCHEY,48.58129185,5.95351696,,,,,0,,8700,6130
114,6/6/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,10,,,,2246,224.6,50.3566962,7.5996166,COBLENZ,GERMANY,"FACTORIES, STN, BARRACKS",AZELOT,48.5941522,6.2420764,,,,,0,,10000,6132
